Sample ID,repeat N,Petiole area (um^2),Petiole area (mm^2),Pith area (um^2),Xylem+pith area (um^2),pith+phloem+xylem area (um^2),xylem area (um^2),xylem area (%),phloem area (um^2),phloem area (%)
1,d,1413830.654,1.413830654,64141.825,176203.101,284244.363,112061.276,7.926074858,108041.262,20.10455511
2,d,1319408.823,1.319408823,35000.633,138030.708,280231.899,103030.075,7.808805975,142201.191,21.23920154
3,e,1531603.303,1.531603303,36991.237,221710.212,335368.374,184718.975,12.0604973,113658.162,21.89655594
4,d,653611.028,0.653611028,15327.85,59498.704,107239.6,44170.854,6.757972572,47740.896,16.40725071
16,d,1720309.61,1.72030961,25417.268,154832.237,236932.305,129414.969,7.522771962,82100.068,13.77265485
17,d,1412903.239,1.412903239,74651.116,206513.323,324162.083,131862.207,9.332713194,117648.76,22.94297826
19,d,1045912.717,1.045912717,24363.651,101901.835,174263.361,77538.184,7.41344691,72361.526,16.66136745
20,d,717634.976,0.717634976,27197.346,95881.097,150943.443,68683.751,9.570847756,55062.346,21.03345685
31,d,1738226.543,1.738226543,117615.649,341483.502,431686.831,223867.853,12.8790953,90203.329,24.83490042
32,d,1352234.586,1.352234586,54676.876,160730.415,224887.865,106053.539,7.842835858,64157.45,16.6308322
34,d,1785358.562,1.785358562,113351.763,326953.771,431888.955,213602.008,11.96409576,104935.184,24.19060038
35,d,1826747.857,1.826747857,83967.124,320211.02,432244.773,236243.896,12.93248519,112033.753,23.66198331
36,d,1890839.185,1.890839185,84312.07,286158.246,378654.625,201846.176,10.67495203,92496.379,20.02574455
37,d,1919123.834,1.919123834,126814.039,315661.985,424645.587,188847.946,9.840321018,108983.602,22.12705504
56,d,1733239.044,1.733239044,121627.497,320292.561,451338.858,198665.064,11.46206951,131046.297,26.0401968
57,d,2155460.607,2.155460607,107870.682,328632.046,431294.443,220761.364,10.24195772,102662.397,20.00938647
58,d,2179503.917,2.179503917,172078.045,500711.574,659237.4,328633.529,15.07836377,158525.826,30.24713077
59,d,1298145.444,1.298145444,62860.196,154395.372,222954.587,91535.176,7.051226534,68559.215,17.17485418
61,d,1516054.752,1.516054752,49669.231,189506.704,254995.012,139837.473,9.223774591,65488.308,16.81964399
