Sample ID,[] mg PACH/ mL,Date of results (file)
291,-0.445833333,7/15/2022
292,6.1505,7/15/2022
293,20.5402,2022-07-18 (1)
294,115.2445333,2022-07-18 (3)
295,7.987333333,2022-07-18 (1)
296,20.91366667,2022-07-18 (3)
297,-3.887,2022-07-18 (1)
298,-1.8514,2022-07-18 (1)
299,-3.547733333,2022-07-18 (1)
300,-3.208466667,2022-07-18 (1)
301,-7.513333333,7/15/2022
302,-53.40933333,7/13/2022
304,-8.297466667,2022-07-18 (1)
305,-7.9582,2022-07-18 (1)
306,-3.887,2022-07-18 (1)
307,-8.200466667,2022-07-18 (3)
308,-3.041,2022-07-18 (3)
309,1.880533333,2022-07-18 (1)
310,-4.9048,2022-07-18 (1)
311,5.8038,2022-07-18 (3)
312,12.8638,2022-07-18 (2)
313,2.118466667,2022-07-18 (3)
315,-0.2666,2022-07-18 (2)
316,30.73573333,2022-07-18 (2)
317,-4.883666667,2022-07-18 (3)
318,5.8038,2022-07-18 (3)
319,6.9094,2022-07-18 (3)
320,18.70246667,2022-07-18 (3)
321,17.97006667,2022-07-18 (2)
322,18.40083333,7/15/2022
323,18.69953333,2022-07-18 (2)
324,43.84383333,7/15/2022
325,40.58353333,2022-07-18 (2)
326,14.6315,7/15/2022
327,-6.3378,2022-07-20 (1)
328,-5.5782,2022-07-20 (1)
329,-0.6408,2022-07-20 (1)
330,-3.6792,2022-07-20 (1)
331,-5.5782,2022-07-20 (1)
332,-3.6792,2022-07-20 (1)
333,-2.5398,2022-07-20 (1)
334,-7.857,2022-07-20 (1)
335,7.335,2022-07-20 (1)
336,20.2482,2022-07-20 (1)
337,-1.7802,2022-07-20 (1)
338,14.5512,2022-07-20 (1)
339,-2.059,2022-07-20 (2)
340,-2.059,2022-07-20 (2)
341,6.125,2022-07-20 (2)
342,29.561,2022-07-20 (2)
343,5.381,2022-07-20 (2)
345,39.977,2022-07-20 (2)
346,20.633,2022-07-20 (2)
347,-6.895,2022-07-20 (2)
348,-3.547,2022-07-20 (2)
349,-1.315,2022-07-20 (2)
350,-5.035,2022-07-20 (2)
351,2.033,2022-07-20 (2)
352,15.87596667,2022-07-20 (3)
353,-3.8672,2022-07-20 (3)
354,29.15773333,2022-07-20 (3)
355,1.876266667,2022-07-20 (3)
356,-17.50793333,2022-07-20 (3)
357,1.876266667,2022-07-20 (3)
358,2.5942,2022-07-20 (3)
359,0.4404,2022-07-20 (3)
360,-8.1748,2022-07-20 (3)
361,-5.303066667,2022-07-20 (3)
362,-12.4824,2022-07-20 (3)
363,24.3353,2022-08-24
364,23.0767,2022-08-24
365,26.2232,2022-08-24
366,21.1888,2022-08-24
367,33.1455,2022-08-24
368,25.5939,2022-08-24
369,19.9302,2022-08-24
370,21.1888,2022-08-24
371,18.6716,2022-08-24
372,25.5939,2022-08-24
