"","Tree.Code","Batch","delta_Ct"
"1","JR11",3,6.3184
"2","JR13",2,5.2346
"3","JR16",3,5.2193
"4","JR23",4,7.1818
"5","JR28",4,6.9376
"6","JR29",5,5.7089
"7","JR30",5,1.119
"8","JR12",3,1.2462
"9","JR14",3,0.945399999999999
"10","JR17",4,0.4161
"11","JR20",5,1.1904
"12","JR24",2,2.1799
"13","JR11",7,5.2532
"14","JR13",6,4.884
"15","JR16",7,5.244
"16","JR23",9,4.2122
"17","JR28",8,3.1633
"18","JR29",6,4.8144
"19","JR30",8,1.1175
"20","JR12",7,0.533100000000005
"21","JR14",8,0.537700000000001
"22","JR15",7,0.4895
"23","JR17",9,2.4226
"24","JR20",6,1.6439
"25","JR21",6,0.2746
"26","JR24",8,0.743000000000002
"27","JR25",9,0.386700000000005
"28","JR26",9,3.2855
