Sample ID,Pith area (um^2),Xylem+pith area (um^2),pith+phloem+xylem area (um^2),xylem area (um^2),xylem area (%),phloem area (um^2),phloem area (%)
11-1_10x.tif,6276.764,16459.932,25651.467,10183.168,39.69818958,9191.535,35.83239508
11-2_10x.tif,14007.002,41966.091,64418.492,27959.089,43.40227182,22452.401,34.85396864
11-3_10x.tif,10604.711,32131.061,53489.505,21526.35,40.24406283,21358.444,39.93015826
12-1_10x.tif,8522.676,31543.192,51006.233,23020.516,45.13275074,19463.041,38.15816196
12-2_10x.tif,4812.07,21172.206,35135.513,16360.136,46.56296323,13963.307,39.74129252
12-3_10x.tif,3086.232,10332.111,16717.994,7245.879,43.34179687,6385.883,38.19766295
13-1_10x.tif,4024.452,15632.491,25953.698,11608.039,44.72595389,10321.207,39.76777028
13-2_10x.tif,9224.01,37714.551,58008.984,28490.541,49.11401482,20294.433,34.98498267
13-3_10x.tif,3845.168,17342.921,27903.7,13497.753,48.372628,10560.779,37.84723531
14-3_10x.tif,3570.355,13070.995,21185.639,9500.64,44.84471769,8114.644,38.30256902
15-2_10x.tif,3867.213,19096.018,33198.312,15228.805,45.87222688,14102.294,42.47894893
15-3_10x.tif,5420.799,17781.452,31043.03,12360.653,39.81780451,13261.578,42.71998577
26-3_10x.tif,2794.352,9996.931,15162.196,7202.579,47.50353445,5165.265,34.06673413
26-4_10x.tif,6892.367,24092.034,35845.065,17199.667,47.98336117,11753.031,32.7884215
27-1_10x.tif,10524.353,54357.165,73110.813,43832.812,59.95393869,18753.648,25.65099091
27-2_10x.tif,1606.367,7461.746,10771.748,5855.379,54.35867048,3310.002,30.72855028
27-3_10x.tif,7009.151,26080.437,36528.778,19071.286,52.2089351,10448.341,28.60304005
29-1_10x.tif,6923.736,20366.81,30082.212,13443.074,44.68778426,9715.402,32.29616891
29-2_10x.tif,2469.049,7290.68,12794.839,4821.631,37.68418657,5504.159,43.01858742
30-1_10x.tif,3788.751,14733.146,22452.006,10944.395,48.74573345,7718.86,34.37937795
30-2_10x.tif,1850.918,5517.275,8450.851,3666.357,43.38447098,2933.576,34.71337975
30-4_10x.tif,1202.129,3550.522,6233.859,2348.393,37.67157711,2683.337,43.04455715
47-1_10x.tif,25892.935,77503.078,96683.878,51610.143,53.38029883,19180.8,19.83867465
47-2_10x.tif,1602.022,6308.528,9894.686,4706.506,47.56599654,3586.158,36.2432724
47-4_10x.tif,9802.95,35615.29,46616.497,25812.34,55.37168526,11001.207,23.59938586
49-1_10x.tif,21068.855,60709.625,78790.147,39640.77,50.31183658,18080.522,22.94769421
49-2_10x.tif,1550.346,9657.405,16493.118,8107.059,49.15419268,6835.713,41.44585032
49-3_10x.tif,22055.827,70428.898,88015.895,48373.071,54.95947181,17586.997,19.98161468
50-1_10x.tif,7126.724,29798.233,39912.659,22671.509,56.80280284,10114.426,25.34139858
50-2_10x.tif,14047.774,47463.297,62094.593,33415.523,53.81390132,14631.296,23.56291473
50-3_10x.tif,2683.574,10393.979,16807.438,7710.405,45.87495727,6413.459,38.15845699
51-1_10x.tif,4048.71,13778.65,23738.523,9729.94,40.98797554,9959.873,41.95658256
51-2_10x.tif,4511.024,20493.155,29717.559,15982.131,53.78009345,9224.404,31.04024796
52-1_10x.tif,10258.39,42818.185,59131.308,32559.795,55.06354603,16313.123,27.58796237
52-2_10x.tif,1151.243,5664.401,9657.247,4513.158,46.73338064,3992.846,41.34559259
52-3_10x.tif,2703.564,14895.522,23207.544,12191.958,52.53446035,8312.022,35.81603465
53-1_10x.tif,5084.986,19704.352,29367.841,14619.366,49.78018643,9663.489,32.90500313
53-2_10x.tif,7215.063,27358.262,40382.164,20143.199,49.88142537,13023.902,32.2516198
53-3_10x.tif,10682.857,30830.085,45248.517,20147.228,44.52572004,14418.432,31.86498245
71-1_10x.tif,13210.456,47982.739,66320.928,34772.283,52.4303324,18338.189,27.65068215
71-2_10x.tif,11645.571,38397.632,55146.521,26752.061,48.51087705,16748.889,30.37161492
71-3_10x.tif,23535.06,75190.398,95038.162,51655.338,54.35220643,19847.764,20.88399395
72-1_10x.tif,24369.77,64218.032,85092.354,39848.262,46.82942724,20874.322,24.53137211
72-2_10x.tif,10687.914,26593.242,43220.606,15905.328,36.80033547,16627.364,38.47091825
72-3_10x.tif,15813.513,54387.269,76289.255,38573.756,50.56250189,21901.986,28.70913604
74-1_10x.tif,22605.69,72365.784,94210.484,49760.094,52.8180006,21844.7,23.18712215
74-2_10x.tif,6366.209,19023.246,27824.448,12657.037,45.48890602,8801.202,31.63118276
74-3_10x.tif,6608.625,22743.175,33945.079,16134.55,47.53133731,11201.904,33.00008228
