Sample ID,Tree Code,Weight (mg),Starch by mL (mg),Batch
156,JR01,18.3,0.216337933,6
216,JR01,16.32,0.154527833,2
222,JR01,18.07,0.135413867,6
230,JR02,13.36,0.079561367,3
158,JR03,20.04,0.3076878,8
247,JR03,20.64,0.147080833,8
159,JR04,18.05,0.174882967,7
223,JR04,17.01,0.085518967,4
237,JR04,17.55,0.052007467,7
160,JR05,16.6,0.0820437,9
245,JR05,17.08,0.079313133,9
232,JR05,13.65,0.095696533,5
162,JR07,18.03,0.068887333,7
242,JR07,17.65,0.0649156,5
214,JR07,19.04,0.033389967,7
164,JR09,17.79,0.113817567,8
251,JR09,15.9,0.062185033,5
236,JR09,16.94,0.054986267,8
228,JR10,17.1,0.035624067,2
166,JR11,13.92,0.144102033,7
252,JR11,14.55,0.280630367,7
219,JR11,14.83,0.0448087,3
167,JR12,19.31,0.121016333,7
243,JR12,19.22,0.069632033,3
244,JR12,21.78,0.118285767,7
168,JR13,16.83,0.389356567,6
253,JR13,16.04,0.158251333,6
220,JR13,12.55,0.096441233,2
169,JR14,18.05,0.407974067,8
226,JR14,19,0.0597027,3
227,JR14,15.9,0.115058733,8
170,JR15,19.39,0.2965173,7
224,JR15,18.5,0.103143533,4
235,JR15,19.74,0.148818467,7
171,JR16,14.93,0.313893633,7
248,JR16,15.88,0.124739833,3
234,JR16,14.72,0.157506633,7
172,JR17,19.63,0.111087,9
249,JR17,18.82,0.099668267,4
238,JR17,19.63,0.1952381,9
173,JR20,18.87,0.0395958,6
218,JR20,21.1,0.064667367,6
239,JR20,14.52,0.067646167,5
174,JR21,18.55,0.0731073,6
215,JR21,18.15,0.070376733,6
175,JR23,16.91,0.140626767,9
233,JR23,17.33,0.185805233,9
176,JR24,19.54,0.077823733,8
221,JR24,17.53,0.0507663,8
229,JR24,15.71,0.129456267,2
207,JR25,21.53,0.096689467,9
254,JR25,22.35,0.072610833,9
212,JR26,18.51,0.2369413,9
231,JR26,18.03,0.095696533,9
177,JR28,15.06,0.052007467,8
246,JR28,13.98,0.121264567,8
225,JR28,16.78,0.193252233,4
178,JR29,16.97,0.047539267,6
241,JR29,15.11,0.3106666,6
217,JR29,15.74,0.130200967,5
179,JR30,15.69,0.353362733,8
240,JR30,18.54,0.0470428,8
250,JR30,15.85,0.101157667,5
